QUEUE,Tokenize2,Pride1_Sense1,43410395234723,Kimehecc,Pride1_Sense1
START,Tokenize2,Pride1_Sense1,43410395488102,Kimehecc,Pride1_Sense1
QUEUE,Tokenize1,Pride1_Sense1,43410401843228,Kimehecc,Pride1_Sense1
START,Tokenize1,Pride1_Sense1,43410401911496,Kimehecc,Pride1_Sense1
STOP,Tokenize2,Pride1_Sense1,43410407538423,Kimehecc,Pride1_Sense1
QUEUE,Collect2,Pride1_Sense1,43410408716845,Kimehecc,Pride1_Sense1
START,Collect2,Pride1_Sense1,43410408795400,Kimehecc,Pride1_Sense1
STOP,Tokenize1,Pride1_Sense1,43410410162615,Kimehecc,Pride1_Sense1
QUEUE,Collect1,Pride1_Sense1,43410412497124,Kimehecc,Pride1_Sense1
START,Collect1,Pride1_Sense1,43410412654737,Kimehecc,Pride1_Sense1
QUEUE,Tokenize1,Pride1_Sense2,43410414014094,Kimehecc,Pride1_Sense2
QUEUE,Tokenize2,Pride1_Sense2,43410414043361,Kimehecc,Pride1_Sense2
START,Tokenize2,Pride1_Sense2,43410414089451,Kimehecc,Pride1_Sense2
START,Tokenize1,Pride1_Sense2,43410414047315,Kimehecc,Pride1_Sense2
STOP,Tokenize1,Pride1_Sense2,43410418513010,Kimehecc,Pride1_Sense2
QUEUE,Collect1,Pride1_Sense2,43410418650309,Kimehecc,Pride1_Sense2
START,Collect1,Pride1_Sense2,43410418696066,Kimehecc,Pride1_Sense2
STOP,Tokenize2,Pride1_Sense2,43410429185414,Kimehecc,Pride1_Sense2
QUEUE,Collect2,Pride1_Sense2,43410439281347,Kimehecc,Pride1_Sense2
START,Collect2,Pride1_Sense2,43410439397714,Kimehecc,Pride1_Sense2
QUEUE,Tokenize1,Pride1_Sense3,43410522114465,Kimehecc,Pride1_Sense3
START,Tokenize1,Pride1_Sense3,43410522174682,Kimehecc,Pride1_Sense3
QUEUE,Tokenize2,Pride1_Sense3,43410522141897,Kimehecc,Pride1_Sense3
START,Tokenize2,Pride1_Sense3,43410522289244,Kimehecc,Pride1_Sense3
STOP,Tokenize1,Pride1_Sense3,43410523773059,Kimehecc,Pride1_Sense3
QUEUE,Collect1,Pride1_Sense3,43410525905995,Kimehecc,Pride1_Sense3
START,Collect1,Pride1_Sense3,43410525956528,Kimehecc,Pride1_Sense3
STOP,Tokenize2,Pride1_Sense3,43410546553276,Kimehecc,Pride1_Sense3
QUEUE,Collect2,Pride1_Sense3,43410559902818,Kimehecc,Pride1_Sense3
START,Collect2,Pride1_Sense3,43410559979323,Kimehecc,Pride1_Sense3
QUEUE,Tokenize1,Pride1_Sense4,43410611735305,Kimehecc,Pride1_Sense4
START,Tokenize1,Pride1_Sense4,43410611800239,Kimehecc,Pride1_Sense4
STOP,Tokenize1,Pride1_Sense4,43410613631102,Kimehecc,Pride1_Sense4
QUEUE,Collect1,Pride1_Sense4,43410613921893,Kimehecc,Pride1_Sense4
START,Collect1,Pride1_Sense4,43410613955696,Kimehecc,Pride1_Sense4
QUEUE,Tokenize2,Pride1_Sense4,43410624188692,Kimehecc,Pride1_Sense4
START,Tokenize2,Pride1_Sense4,43410624430650,Kimehecc,Pride1_Sense4
STOP,Tokenize2,Pride1_Sense4,43410673883836,Kimehecc,Pride1_Sense4
QUEUE,Collect2,Pride1_Sense4,43410686278671,Kimehecc,Pride1_Sense4
START,Collect2,Pride1_Sense4,43410686359106,Kimehecc,Pride1_Sense4
QUEUE,Tokenize1,Pride1_Sense5,43410719142778,Kimehecc,Pride1_Sense5
START,Tokenize1,Pride1_Sense5,43410719204454,Kimehecc,Pride1_Sense5
STOP,Tokenize1,Pride1_Sense5,43410720636971,Kimehecc,Pride1_Sense5
QUEUE,Tokenize2,Pride1_Sense5,43410720850823,Kimehecc,Pride1_Sense5
START,Tokenize2,Pride1_Sense5,43410720879580,Kimehecc,Pride1_Sense5
QUEUE,Collect1,Pride1_Sense5,43410733682465,Kimehecc,Pride1_Sense5
START,Collect1,Pride1_Sense5,43410734021102,Kimehecc,Pride1_Sense5
STOP,Tokenize2,Pride1_Sense5,43410824066257,Kimehecc,Pride1_Sense5
QUEUE,Collect2,Pride1_Sense5,43410835601733,Kimehecc,Pride1_Sense5
START,Collect2,Pride1_Sense5,43410835668365,Kimehecc,Pride1_Sense5
QUEUE,Tokenize1,Pride1_Sense6,43410894017603,Kimehecc,Pride1_Sense6
START,Tokenize1,Pride1_Sense6,43410894066497,Kimehecc,Pride1_Sense6
STOP,Tokenize1,Pride1_Sense6,43410895355465,Kimehecc,Pride1_Sense6
QUEUE,Tokenize2,Pride1_Sense6,43410895485006,Kimehecc,Pride1_Sense6
START,Tokenize2,Pride1_Sense6,43410895505623,Kimehecc,Pride1_Sense6
QUEUE,Collect1,Pride1_Sense6,43410919403792,Kimehecc,Pride1_Sense6
START,Collect1,Pride1_Sense6,43410919465529,Kimehecc,Pride1_Sense6
STOP,Tokenize2,Pride1_Sense6,43411086105276,Kimehecc,Pride1_Sense6
QUEUE,Collect2,Pride1_Sense6,43411096268694,Kimehecc,Pride1_Sense6
START,Collect2,Pride1_Sense6,43411096315761,Kimehecc,Pride1_Sense6
QUEUE,Tokenize1,Pride2_Sense1,43411116999443,Kimehecc,Pride2_Sense1
QUEUE,Tokenize2,Pride2_Sense1,43411117024541,Kimehecc,Pride2_Sense1
START,Tokenize1,Pride2_Sense1,43411117030548,Kimehecc,Pride2_Sense1
START,Tokenize2,Pride2_Sense1,43411117051625,Kimehecc,Pride2_Sense1
STOP,Tokenize1,Pride2_Sense1,43411135220541,Kimehecc,Pride2_Sense1
QUEUE,Collect1,Pride2_Sense1,43411136129538,Kimehecc,Pride2_Sense1
START,Collect1,Pride2_Sense1,43411136165598,Kimehecc,Pride2_Sense1
STOP,Tokenize2,Pride2_Sense1,43411138108883,Kimehecc,Pride2_Sense1
QUEUE,Collect2,Pride2_Sense1,43411238511737,Kimehecc,Pride2_Sense1
START,Collect2,Pride2_Sense1,43411238583481,Kimehecc,Pride2_Sense1
QUEUE,Tokenize2,Pride2_Sense2,43411634663261,Kimehecc,Pride2_Sense2
START,Tokenize2,Pride2_Sense2,43411634698857,Kimehecc,Pride2_Sense2
STOP,Tokenize2,Pride2_Sense2,43411635536421,Kimehecc,Pride2_Sense2
QUEUE,Collect2,Pride2_Sense2,43411635766865,Kimehecc,Pride2_Sense2
START,Collect2,Pride2_Sense2,43411635794716,Kimehecc,Pride2_Sense2
QUEUE,Tokenize1,Pride2_Sense2,43411644723936,Kimehecc,Pride2_Sense2
START,Tokenize1,Pride2_Sense2,43411644805360,Kimehecc,Pride2_Sense2
