QUEUE,Tokenize1,Pride1,176346903414661,Pomerania,Pride1_Sense1
START,Tokenize1,Pride1,176346904490522,Pomerania,Pride1_Sense1
QUEUE,Tokenize2,Sense1,176346909342547,Pomerania,Pride1_Sense1
START,Tokenize2,Sense1,176346910236248,Pomerania,Pride1_Sense1
QUEUE,Collect1,Pride1,176346923259936,Pomerania,Pride1_Sense1
START,Collect1,Pride1,176346924817065,Pomerania,Pride1_Sense1
STOP,Tokenize1,Pride1,176346974977785,Pomerania,Pride1_Sense1
QUEUE,Collect2,Sense1,176346981263459,Pomerania,Pride1_Sense1
STOP,Tokenize2,Sense1,176346981417007,Pomerania,Pride1_Sense1
START,Collect2,Sense1,176346982043782,Pomerania,Pride1_Sense1
STOP,Collect1,Pride1,176346985084043,Pomerania,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,176346990385398,Pomerania,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,176346990767077,Pomerania,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,176346991047278,Pomerania,Pride1_Sense1
START,ComputeScalar1,Pride1,176346991211788,Pomerania,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,176346993172440,Pomerania,Pride1_Sense1
STOP,ComputeScalar1,Pride1,176346993317994,Pomerania,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,176346993595524,Pomerania,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,176346999185994,Pomerania,Pride1_Sense1
STOP,Collect2,Sense1,176346996694569,Pomerania,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,176347000804599,Pomerania,Pride1_Sense1
START,ComputeScalar2,Sense1,176347000955921,Pomerania,Pride1_Sense1
STOP,ComputeScalar2,Sense1,176347002839665,Pomerania,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,176347010191159,Pomerania,Pride1_Sense1
QUEUE,Tokenize1,Pride1,176347145258233,Pomerania,Pride1_Sense2
QUEUE,Tokenize2,Sense2,176347145309197,Pomerania,Pride1_Sense2
START,Tokenize1,Pride1,176347145402276,Pomerania,Pride1_Sense2
START,Tokenize2,Sense2,176347145863021,Pomerania,Pride1_Sense2
QUEUE,Collect1,Pride1,176347154678413,Pomerania,Pride1_Sense2
STOP,Tokenize1,Pride1,176347154840810,Pomerania,Pride1_Sense2
START,Collect1,Pride1,176347154871507,Pomerania,Pride1_Sense2
QUEUE,Collect2,Sense2,176347155568666,Pomerania,Pride1_Sense2
START,Collect2,Sense2,176347155694729,Pomerania,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,176347156122252,Pomerania,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,176347156245576,Pomerania,Pride1_Sense2
STOP,Collect1,Pride1,176347156631504,Pomerania,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,176347158116197,Pomerania,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,176347158233944,Pomerania,Pride1_Sense2
START,ComputeScalar1,Pride1,176347158250845,Pomerania,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,176347158374964,Pomerania,Pride1_Sense2
STOP,ComputeScalar1,Pride1,176347160368789,Pomerania,Pride1_Sense2
STOP,Tokenize2,Sense2,176347167259213,Pomerania,Pride1_Sense2
STOP,Collect2,Sense2,176347183866347,Pomerania,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,176347188234658,Pomerania,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,176347212758620,Pomerania,Pride1_Sense2
START,ComputeScalar2,Sense2,176347217744094,Pomerania,Pride1_Sense2
STOP,ComputeScalar2,Sense2,176347221093589,Pomerania,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,176347221138649,Pomerania,Pride1_Sense2
QUEUE,Tokenize1,Pride1,176347371379686,Pomerania,Pride1_Sense3
QUEUE,Tokenize2,Sense3,176347371476202,Pomerania,Pride1_Sense3
START,Tokenize1,Pride1,176347371573091,Pomerania,Pride1_Sense3
START,Tokenize2,Sense3,176347371672759,Pomerania,Pride1_Sense3
QUEUE,Collect1,Pride1,176347375616442,Pomerania,Pride1_Sense3
STOP,Tokenize1,Pride1,176347375797374,Pomerania,Pride1_Sense3
START,Collect1,Pride1,176347375822149,Pomerania,Pride1_Sense3
STOP,Collect1,Pride1,176347376785291,Pomerania,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,176347378267059,Pomerania,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,176347378393521,Pomerania,Pride1_Sense3
START,ComputeScalar1,Pride1,176347378412312,Pomerania,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,176347379486563,Pomerania,Pride1_Sense3
QUEUE,Collect2,Sense3,176347379216633,Pomerania,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,176347378537105,Pomerania,Pride1_Sense3
START,Collect2,Sense3,176347381920939,Pomerania,Pride1_Sense3
STOP,ComputeScalar1,Pride1,176347382069016,Pomerania,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,176347382331581,Pomerania,Pride1_Sense3
STOP,Tokenize2,Sense3,176347388119493,Pomerania,Pride1_Sense3
STOP,Collect2,Sense3,176347390625643,Pomerania,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,176347412629457,Pomerania,Pride1_Sense3
START,ComputeScalar2,Sense3,176347412805952,Pomerania,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,176347414205310,Pomerania,Pride1_Sense3
STOP,ComputeScalar2,Sense3,176347418686933,Pomerania,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,176347418713451,Pomerania,Pride1_Sense3
QUEUE,Tokenize1,Pride1,176347713963270,Pomerania,Pride1_Sense4
START,Tokenize1,Pride1,176347714088681,Pomerania,Pride1_Sense4
QUEUE,Tokenize2,Sense4,176347714048135,Pomerania,Pride1_Sense4
START,Tokenize2,Sense4,176347714245151,Pomerania,Pride1_Sense4
QUEUE,Collect1,Pride1,176347720390177,Pomerania,Pride1_Sense4
STOP,Tokenize1,Pride1,176347720501076,Pomerania,Pride1_Sense4
START,Collect1,Pride1,176347720524363,Pomerania,Pride1_Sense4
QUEUE,Collect2,Sense4,176347751072623,Pomerania,Pride1_Sense4
STOP,Tokenize2,Sense4,176347751228392,Pomerania,Pride1_Sense4
START,Collect2,Sense4,176347751258669,Pomerania,Pride1_Sense4
STOP,Collect1,Pride1,176347752011939,Pomerania,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,176347753290797,Pomerania,Pride1_Sense4
